docking_score,smiles
-7.8,Cc1cc(C)n2ncc(-c3noc(C[C@]4(O)CCCN(C)C4)n3)c2n1
-7.8,C[C@@]1(c2cccc(C(F)(F)F)c2)NC(=O)N(Cc2ccc(C#N)cc2Cl)C1=O
-7.8,Cc1cc(NC(=O)N[C@@H](Cc2nn[nH]n2)c2ccc(F)cc2F)cc(=O)n1C
-7.8,O=C(N=c1cccn[nH]1)N[C@@H]1CCN(c2ccc(F)c(Cl)c2)C1
-7.8,Cc1noc([C@H]2CN(Cc3conc3C)C[C@@H](C)O2)n1
-7.8,CCN1Cc2ccccc2[C@H](NC(=O)N2CCCc3ccc(C)nc32)C1
-7.8,Cc1ccccc1[C@@H](Sc1nnc(C[C@@H]2CCS(=O)(=O)C2)o1)c1ccccc1
-7.8,Cc1ccc2ncccc2c1-c1ccc2c(c1)CCO[C@@H]2C(=O)O
-7.8,O=C(COC(=O)c1nnc(O)c2ccccc12)Nc1ccc2c(c1)OCO2
-7.8,Cc1nn(C)cc1[C@@H]1CCCN1C(=O)[C@H]1CCc2nnnn2CC1
-7.8,C[C@H]1CN(C(=O)C(=O)Nc2cc3c(cc2F)NC(=O)CC3)[C@H]1c1ccccc1
-7.8,COC(=O)C1(C2=CCN(Cc3nnc(-c4ccc(Cl)cc4)o3)CC2)CCC1
-7.8,O=C(Nc1ccccc1)Nc1ccccc1NS(=O)(=O)c1ccccc1
-7.8,O=C1NCCN(C(=O)Nc2ccnc(Cl)c2)[C@H]1c1ccccc1F
-7.8,CN(CN1C(=O)NC2(CCCC2)C1=O)[C@@H]1CCc2ccccc21
-7.7,Cc1nc(C(=O)Nc2ccc([C@H]3CCC(=O)N3)cc2)nn1-c1nc[nH]n1
-7.7,Cc1n[nH]c(C)c1S(=O)(=O)Nc1ccccc1C(=O)NCc1ccccc1
-7.7,C[C@H]1CN(C(=O)c2ccc3c(c2)CCCCN3)Cc2ccccc2O1
-7.7,Cc1cnc2ccccc2c1C(=O)NCC1(Cc2nn[nH]n2)CC1
-7.7,O=C1NC(=O)[C@H](CC(=O)N(CCc2nn[nH]n2)C23CC4CC(CC(C4)C2)C3)N1
-7.7,Cc1cccc2cc(C(=O)Nc3cccc(-c4nn[nH]n4)c3)c(Cl)nc12
-7.7,O=C(O)c1ccc(CNC(=O)[C@@H]2[C@H]3Cc4c(Cl)cccc4[C@H]32)cc1
-7.7,O=C(Nc1cnn(-c2cccc(C(F)(F)F)c2)c1)[C@@H]1CCCO1
-7.7,O=[N+]([O-])c1ccccc1OCc1cccc2ccccc12
-7.7,Cc1c(C)c2c(c(C)c1O)CC[C@](C)(C(=O)NCCc1ccc[nH]1)O2
-7.7,Cc1cc(C)cc(C(=O)N2CCC[C@@H](C(=O)N[C@@H](C)c3cccc(F)c3)C2)c1
-7.7,C[C@H]1CCCC[C@]12CC(=O)NN2C(=O)Cn1cc(C(N)=O)c2ccccc21
-7.7,O=C(NCC1(c2cccc(C(F)(F)F)c2)CCOCC1)N1CCC2(CCC2)C1
-7.7,COc1ccc(C)cc1-c1csc(NC(=O)c2cccc(C3OCCO3)c2)n1
-7.7,O=C(NCc1ccccc1CN1CCCCC1)c1ccc(Br)cc1F
-7.7,Fc1ccccc1CN1CCC[C@@H](c2noc(C3CC3)n2)C1
-7.7,Cc1cc(=O)c(C(=O)N[C@H](C)c2ccccc2Oc2ccccc2)c[nH]1
-7.7,C[C@H]1CCCN(C(=O)CNc2cccc(-n3cnnn3)c2)C1
-7.7,CC(=O)c1ccc(NS(=O)(=O)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1
-7.7,O=C(Cc1ccc(C(F)(F)F)cc1)N[C@@H]1CCCC[C@@H]1c1nn[nH]n1
-7.7,CC(=O)N[C@]1(c2nc(C)no2)CCN(Cc2ccoc2C)C1
-7.7,CC(C)(C(=O)O)C(=O)N[C@@H]1CCCN(Cc2cccc(C(F)(F)F)c2)C1=O
-7.7,O=C(N[C@@H](Cc1c[nH]c2cccc(F)c12)C(=O)O)c1cnc[nH]1
-7.7,CCSc1nnc2c(n1)O[C@@H](c1ccc(F)cc1)Nc1ccccc1-2
-7.7,O=C(CN1CCC[C@H]1Cc1ccccc1)NC1CCCCCC1
-7.7,O=C(Nc1cccc(Cn2cccnc2=O)c1)c1ccc2c(c1)CNC2
-7.7,CC(=O)N1CCc2cc(C(=O)N3C[C@H](C(=O)O)Oc4ccccc43)ccc21
-7.7,O=[N+]([O-])c1ccccc1CN1CCC[C@H](c2nc3ccccc3o2)C1
-7.7,C[C@H]1C[C@@H](C)CN(C(=O)CN2C(=O)N[C@](C)(c3ccccc3Cl)C2=O)C1
-7.7,c1ccc2c(Cc3nc([C@@H]4CCCN4)no3)coc2c1
-7.7,CCc1nnc2n1C[C@@H](N[C@H](C)c1nc(C)no1)CC2
-7.7,CC(C)c1noc2ncc(C(=O)NS(=O)(=O)c3ccc(Cl)cc3Cl)cc12
-7.7,O=C(CSc1nc(O)cc(=O)n1C1CCCC1)N1CCc2ccccc21
-7.7,Cc1nn(-c2cccc(C(F)(F)F)c2)c(C)c1C(=O)C(=O)N1CCNC(=O)C1
-7.7,O=C(Nc1ccc2nsnc2c1)c1cc(=O)c2ccccc2o1
-7.7,C[C@H]1C[C@H](C)CN(Cc2ccccc2CNC(=O)c2ccc(=O)n(C)n2)C1
-7.7,C[C@H]1CC[C@H](CC(=O)N2C[C@@H]3CCC[C@]3(c3nc(-c4ccccc4)no3)C2)C1
-7.7,O=C(Nc1nc(C23CC4CC(CC(C4)C2)C3)cs1)c1ccc(O)nn1
-7.7,CC(C)N1CCC(O)(CNC(=O)Nc2sc3ccccc3c2Cl)CC1
-7.7,O=C(NCc1cccc2c1CCNC2)[C@H]1NCCOc2ccccc21
-7.7,Cc1cc(CC(=O)N[C@H]2COc3ccccc3C2=O)n[nH]1
-7.7,O=C(NCCN[C@H]1CCc2c(O)cccc21)c1cccc2ccccc12
-7.7,O=C(Nc1ccnn1Cc1ccccc1Br)c1ccc2ccccc2n1
-7.7,CSc1cccc(NS(=O)(=O)c2cc(C(=O)O)cc3c2CCC3)c1
-7.7,CN1C[C@@H](NC(=O)Nc2nc3c(OC(F)(F)F)cccc3s2)CC1=O
