docking_score,smiles
-7.4,O=C(O)[C@@H]1Cc2c[nH]nc2N(S(=O)(=O)c2cnc3[nH]cncc2-3)C1
-7.4,O=C(CN1CCNCC1=O)NC[C@@H]1CC(=O)Nc2ccccc21
-7.4,O=C(Cn1nnnc1O)NCc1cc(-c2ccc(F)cc2)no1
-7.4,C[C@]1(c2ccccc2F)NC(=O)N(Cc2nc(=N)[nH]c(=N)[nH]2)C1=O
-7.4,CN1C(=O)CC[C@@H](NC(=O)NCC2(O)CCCCC2)C1=O
-7.4,Cc1nc(O)nc(O)c1CCC(=O)N1CCC[C@H](c2nc[nH]n2)C1
-7.4,O=C(CN1CSCC1=O)NNC(=O)CN1CCCc2ccccc21
-7.4,O=C(C[C@@H]1NC(=O)c2ccccc2NC1=O)Nc1nccc(O)n1
-7.4,CS(=O)(=O)N1CCC[C@@H](C(=O)NC2(C(=O)O)CCCC2)C1
-7.4,Cc1c(C(=O)N[C@@H]2CCCCNC2=O)cnn1-c1ccc(O)nn1
-7.4,CN1CCN(S(=O)(=O)c2cc(C(N)=O)n(C)c2)c2cnccc21
-7.4,Cc1cccc(C(=O)OCC(=O)N2CCNC(=O)C2)c1[N+](=O)[O-]
-7.3,Cn1nnc(=NS(=O)(=O)c2ccc(O)c([N+](=O)[O-])c2)[nH]1
-7.3,O=S(=O)(F)c1cccc(-n2cc([C@@]3(O)CCNC3)nn2)c1
-7.3,O=C(CN1CCO[C@@H]2CCCC[C@@H]21)NC(=O)N[C@@H]1CCS(=O)(=O)C1
-7.3,CC(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)N1CCN(C)C(=O)C1
-7.3,CCCn1c(N)c(C(=O)CN2C[C@H](C)O[C@@H](C)C2)c(O)nc1=O
-7.3,COC(=O)C[C@@H]1C(=O)NCCN1CC(=O)N1[C@@H](C)CCC[C@@H]1C
-7.3,O=C(Cn1cc(Cl)c(O)nc1=O)N1CC[C@@](O)(c2cccnc2)C1
-7.3,Cn1cc(S(=O)(=O)N2CCSc3ncccc32)c(=O)n(C)c1=O
-7.3,C[C@H](CNC(=O)Cc1ccc(O)cn1)NC(=O)c1ccc[n+]([O-])c1
-7.3,O=C(c1cnc2nc(O)nc(O)c2c1)N1CCN2CCCC[C@@H]2C1
-7.3,CNC(=O)NC(=O)CN1CC[C@@H](CNc2ncccc2C#N)C1
-7.3,O=C1C[C@H]2CC[C@@H]1C[C@H]2C(=O)N1CCOCC1CO
-7.3,O=C(N[C@@H]1COC[C@@H]1NC(=O)[C@@H]1CCCCO1)[C@@H]1CCCCO1
-7.3,Cn1cc(C(=O)NNC(=O)[C@H]2CCCc3cccnc32)nn1
-7.3,CN1C[C@H](O)C[C@@H]1CNC(=O)NCCn1c(O)nc2ccccc21
-7.3,CC1CCCC(C)N1C(=O)C(=O)NCC(=O)N(C)O
-7.3,O=C([C@@H]1NCc2ncncc21)N1CCN(CC2CCOCC2)CC1
-7.3,NS(=O)(=O)NC1CN(C(=O)C2CCCC(F)(F)C2)C1
